inchi	smiles
InChI=1S/C4H6O/c1-3-4-5-2/h1H,4H2,2H3	COCC#C
InChI=1S/C3H5NO/c1-5-3-2-4/h3H2,1H3	COCC#N
InChI=1S/C4H6O/c1-2-3-4-5/h1,5H,3-4H2	OCCC#C
InChI=1S/C3H5NO/c4-2-1-3-5/h5H,1,3H2	OCCC#N
InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3	CCCC=O
InChI=1S/C3H7NO/c1-2-4-3-5/h3H,2H2,1H3,(H,4,5)	CCNC=O
InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3	CCOC=O
InChI=1S/C3H6O2/c1-5-3-2-4/h2H,3H2,1H3	COCC=O
InChI=1S/C3H6O2/c4-2-1-3-5/h2,5H,1,3H2	OCCC=O
InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3	CCCCC
InChI=1S/C4H10O/c1-2-3-4-5/h5H,2-4H2,1H3	CCCCO
InChI=1S/C4H10O/c1-3-4-5-2/h3-4H2,1-2H3	CCCOC
InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	CCOCC
InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3	COCCO
InChI=1S/C3H8O2/c4-2-1-3-5/h4-5H,1-3H2	OCCCO
InChI=1S/C5H6/c1-2-5-3-4-5/h1,5H,3-4H2	C#CC1CC1
InChI=1S/C4H5N/c1-2-4-3-5-4/h1,4-5H,3H2	C#CC1CN1
InChI=1S/C4H4O/c1-2-4-3-5-4/h1,4H,3H2	C#CC1CO1
InChI=1S/C4H5N/c5-3-4-1-2-4/h4H,1-2H2	N#CC1CC1
InChI=1S/C3H4N2/c4-1-3-2-5-3/h3,5H,2H2	N#CC1CN1
InChI=1S/C3H3NO/c4-1-3-2-5-3/h3H,2H2	N#CC1CO1
InChI=1S/C4H6O/c5-3-4-1-2-4/h3-4H,1-2H2	O=CC1CC1
InChI=1S/C3H5NO/c5-2-3-1-4-3/h2-4H,1H2	O=CC1CN1
InChI=1S/C3H4O2/c4-1-3-2-5-3/h1,3H,2H2	O=CC1CO1
InChI=1S/C3H5NO/c5-3-4-1-2-4/h3H,1-2H2	O=CN1CC1
InChI=1S/C5H10/c1-2-5-3-4-5/h5H,2-4H2,1H3	CCC1CC1
InChI=1S/C4H8O/c1-2-4-3-5-4/h4H,2-3H2,1H3	CCC1CO1
InChI=1S/C4H9N/c1-2-5-3-4-5/h2-4H2,1H3	CCN1CC1
InChI=1S/C4H8O/c1-5-4-2-3-4/h4H,2-3H2,1H3	COC1CC1
InChI=1S/C4H8O/c5-3-4-1-2-4/h4-5H,1-3H2	OCC1CC1
InChI=1S/C3H7NO/c5-2-3-1-4-3/h3-5H,1-2H2	OCC1CN1
InChI=1S/C3H6O2/c4-1-3-2-5-3/h3-4H,1-2H2	OCC1CO1
InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2	C1CC=CC1
InChI=1S/C3H5NO/c1-2-5-3-4-1/h3H,1-2H2	C1CN=CO1
InChI=1S/C4H6O/c1-2-4-5-3-1/h1-2H,3-4H2	C1OCC=C1
InChI=1S/C4H8O/c1-2-4-5-3-1/h1-4H2	C1CCOC1
InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2	C1COCO1
InChI=1S/C5H8/c1-2-5-3-4(1)5/h4-5H,1-3H2	C1C2CCC12
InChI=1S/C4H6O/c1-3-2-5-4(1)3/h3-4H,1-2H2	C1C2COC12
InChI=1S/C4H6O/c1-2-4-3(1)5-4/h3-4H,1-2H2	C1CC2OC12
InChI=1S/C3H4N2/c1-2-4-5-3-1/h1-3H,(H,4,5)	N1C=CC=N1
InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)	N1C=CN=N1
InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)	N1C=NC=N1
InChI=1S/C2H3N3/c1-3-2-5-4-1/h1-2H,(H,3,4,5)	N1C=NN=C1
InChI=1S/C2H3N3/c1-2-4-5-3-1/h1-2H,(H,3,4,5)	N1N=CC=N1
InChI=1S/C3H3NO/c1-2-4-5-3-1/h1-3H	O1C=CC=N1
InChI=1S/C2H2N2O/c1-2-5-4-3-1/h1-2H	O1C=CN=N1
InChI=1S/C2H2N2O/c1-3-2-5-4-1/h1-2H	O1C=NC=N1
InChI=1S/C2H2N2O/c1-3-4-2-5-1/h1-2H	O1C=NN=C1
InChI=1S/CHN3O/c1-2-3-4-5-1/h1H	O1C=NN=N1
InChI=1S/C2H2N2O/c1-2-4-5-3-1/h1-2H	O1N=CC=N1
InChI=1S/CHN3O/c1-2-4-5-3-1/h1H	O1N=CN=N1
InChI=1S/N4O/c1-2-4-5-3-1	O1N=NN=N1
InChI=1S/C4H5NO/c1-3-4(2)5-6/h1,6H,2H3	CC(=NO)C#C
InChI=1S/C3H7NO2/c1-3(2-5)4-6/h5-6H,2H2,1H3	CC(CO)=NO
InChI=1S/C4H9NO/c1-3-4(2)5-6/h6H,3H2,1-2H3	CCC(C)=NO
InChI=1S/C3H6N2O/c6-5-3-1-4-2-3/h4,6H,1-2H2	ON=C1CNC1
InChI=1S/C3H5NO2/c5-4-3-1-6-2-3/h5H,1-2H2	ON=C1COC1
InChI=1S/CF4/c2-1(3,4)5	FC(F)(F)F
InChI=1S/C3H4N2O/c6-3-4-1-2-5-3/h1-2H,(H2,4,5,6)	O=C1NC=CN1
InChI=1S/C3H3NO2/c5-3-4-1-2-6-3/h1-2H,(H,4,5)	O=C1NC=CO1
InChI=1S/C3H2O3/c4-3-5-1-2-6-3/h1-2H	O=C1OC=CO1
InChI=1S/C5H7N/c1-5-3-2-4-6-5/h2-4,6H,1H3	CC1=CC=CN1
InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3	CC1=CC=CO1
InChI=1S/C4H5NO/c1-4-2-5-3-6-4/h2-3H,1H3	CC1=CN=CO1
InChI=1S/C4H5NO/c1-4-5-2-3-6-4/h2-3H,1H3	CC1=NC=CO1
InChI=1S/C4H6N2/c5-4-2-1-3-6-4/h1-3,6H,5H2	NC1=CC=CN1
InChI=1S/C4H5NO/c5-4-2-1-3-6-4/h1-3H,5H2	NC1=CC=CO1
InChI=1S/C3H4N2O/c4-3-1-5-2-6-3/h1-2H,4H2	NC1=CN=CO1
InChI=1S/C3H4N2O/c4-3-5-1-2-6-3/h1-2H,(H2,4,5)	NC1=NC=CO1
InChI=1S/C4H5NO/c6-4-2-1-3-5-4/h1-3,5-6H	OC1=CC=CN1
InChI=1S/C3H4N2O/c6-3-1-4-2-5-3/h1-2,6H,(H,4,5)	OC1=CN=CN1
InChI=1S/C3H4N2O/c6-3-4-1-2-5-3/h1-2H,(H2,4,5,6)	OC1=NC=CN1
InChI=1S/C5H7N/c1-5-2-3-6-4-5/h2-4,6H,1H3	CC1=CNC=C1
InChI=1S/C4H6N2/c1-4-2-5-3-6-4/h2-3H,1H3,(H,5,6)	CC1=CNC=N1
InChI=1S/C5H6O/c1-5-2-3-6-4-5/h2-4H,1H3	CC1=COC=C1
InChI=1S/C4H5NO/c1-4-2-6-3-5-4/h2-3H,1H3	CC1=COC=N1
InChI=1S/C4H6N2/c5-4-1-2-6-3-4/h1-3,6H,5H2	NC1=CNC=C1
InChI=1S/C3H5N3/c4-3-1-5-2-6-3/h1-2H,4H2,(H,5,6)	NC1=CNC=N1
InChI=1S/C4H5NO/c5-4-1-2-6-3-4/h1-3H,5H2	NC1=COC=C1
InChI=1S/C3H4N2O/c4-3-1-6-2-5-3/h1-2H,4H2	NC1=COC=N1
InChI=1S/C4H5NO/c6-4-1-2-5-3-4/h1-3,5-6H	OC1=CNC=C1
InChI=1S/C3H4N2O/c6-3-1-4-2-5-3/h1-2,6H,(H,4,5)	OC1=CNC=N1
InChI=1S/C3H3NO2/c5-3-1-6-2-4-3/h1-2,5H	OC1=COC=N1
InChI=1S/C5H7N/c1-6-4-2-3-5-6/h2-5H,1H3	CN1C=CC=C1
InChI=1S/C4H6N2/c1-6-3-2-5-4-6/h2-4H,1H3	CN1C=CN=C1
InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	C1=CC=CC=C1
InChI=1S/C5H5N/c1-2-4-6-5-3-1/h1-5H	C1=CC=NC=C1
InChI=1S/C4H4N2/c1-2-6-4-3-5-1/h1-4H	C1=CN=CC=N1
InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H	C1=CN=CN=C1
InChI=1S/C3H3N3/c1-4-2-6-3-5-1/h1-3H	C1=NC=NC=N1
InChI=1S/C6H10/c1-5-6(2,3)4/h1H,2-4H3	CC(C)(C)C#C
InChI=1S/C5H9N/c1-5(2,3)4-6/h1-3H3	CC(C)(C)C#N
InChI=1S/C4H8N2/c1-4(2,6)3-5/h6H2,1-2H3	CC(C)(N)C#N
InChI=1S/C5H8O/c1-4-5(2,3)6/h1,6H,2-3H3	CC(C)(O)C#C
InChI=1S/C4H7NO/c1-4(2,6)3-5/h6H,1-2H3	CC(C)(O)C#N
InChI=1S/C5H10O/c1-5(2,3)4-6/h4H,1-3H3	CC(C)(C)C=O
InChI=1S/C4H8O2/c1-4(2,6)3-5/h3,6H,1-2H3	CC(C)(O)C=O
InChI=1S/C5H12O/c1-5(2,3)4-6/h6H,4H2,1-3H3	CC(C)(C)CO
InChI=1S/C4H10O2/c1-4(2,6)3-5/h5-6H,3H2,1-2H3	CC(C)(O)CO
InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3	CCC(C)(C)C
InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3	CCC(C)(C)O
InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3	COC(C)(C)C
InChI=1S/C5H6O/c1-3-4-5(2)6/h1-2H3	CC#CC(C)=O
InChI=1S/C4H5NO/c1-2-3-4(5)6/h1H3,(H2,5,6)	CC#CC(N)=O
InChI=1S/C6H10/c1-4-5-6(2)3/h6H,1-3H3	CC#CC(C)C
InChI=1S/C5H8O/c1-3-4-5(2)6/h5-6H,1-2H3	CC#CC(C)O
InChI=1S/C5H6O/c1-3-4-5(2)6/h1H,4H2,2H3	CC(=O)CC#C
InChI=1S/C4H5NO/c1-4(6)2-3-5/h2H2,1H3	CC(=O)CC#N
InChI=1S/C4H5NO/c1-2-3-4(5)6/h1H,3H2,(H2,5,6)	NC(=O)CC#C
InChI=1S/C3H4N2O/c4-2-1-3(5)6/h1H2,(H2,5,6)	NC(=O)CC#N
InChI=1S/C3H6N2O/c1-3(4)5-2-6/h2H,1H3,(H2,4,5,6)	CC(=N)NC=O
InChI=1S/C3H5NO2/c1-3(4)6-2-5/h2,4H,1H3	CC(=N)OC=O
InChI=1S/C4H6O2/c1-4(6)2-3-5/h3H,2H2,1H3	CC(=O)CC=O
InChI=1S/C3H6N2O/c1-3(6)5-2-4/h2H,1H3,(H2,4,5,6)	CC(=O)NC=N
InChI=1S/C3H5NO2/c1-3(6)4-2-5/h2H,1H3,(H,4,5,6)	CC(=O)NC=O
InChI=1S/C3H5NO2/c1-3(5)6-2-4/h2,4H,1H3	CC(=O)OC=N
InChI=1S/C3H5NO2/c4-3(6)1-2-5/h2H,1H2,(H2,4,6)	NC(=O)CC=O
InChI=1S/C2H5N3O/c3-1-5-2(4)6/h1H,(H4,3,4,5,6)	NC(=O)NC=N
InChI=1S/C2H4N2O2/c3-2(6)4-1-5/h1H,(H3,3,4,5,6)	NC(=O)NC=O
InChI=1S/C2H4N2O2/c3-1-6-2(4)5/h1,3H,(H2,4,5)	NC(=O)OC=N
InChI=1S/C6H10/c1-4-5-6(2)3/h1,6H,5H2,2-3H3	CC(C)CC#C
InChI=1S/C5H9N/c1-5(2)3-4-6/h5H,3H2,1-2H3	CC(C)CC#N
InChI=1S/C5H8O/c1-3-4-5(2)6/h1,5-6H,4H2,2H3	CC(O)CC#C
InChI=1S/C4H7NO/c1-4(6)2-3-5/h4,6H,2H2,1H3	CC(O)CC#N
InChI=1S/C4H8N2/c1-6(2)4-3-5/h4H2,1-2H3	CN(C)CC#N
InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3	CC(C)CC=O
InChI=1S/C4H9NO/c1-4(2)5-3-6/h3-4H,1-2H3,(H,5,6)	CC(C)NC=O
InChI=1S/C4H8O2/c1-4(2)6-3-5/h3-4H,1-2H3	CC(C)OC=O
InChI=1S/C4H8O2/c1-4(6)2-3-5/h3-4,6H,2H2,1H3	CC(O)CC=O
InChI=1S/C4H9NO/c1-5(2)3-4-6/h4H,3H2,1-2H3	CN(C)CC=O
InChI=1S/C4H8O2/c1-4(6)2-3-5/h5H,2-3H2,1H3	CC(=O)CCO
InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3	CCCC(C)=O
InChI=1S/C4H9NO/c1-2-3-4(5)6/h2-3H2,1H3,(H2,5,6)	CCCC(N)=O
InChI=1S/C4H9NO/c1-3-5-4(2)6/h3H2,1-2H3,(H,5,6)	CCNC(C)=O
InChI=1S/C3H8N2O/c1-2-5-3(4)6/h2H2,1H3,(H3,4,5,6)	CCNC(N)=O
InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3	CCOC(C)=O
InChI=1S/C3H7NO2/c1-2-6-3(4)5/h2H2,1H3,(H2,4,5)	CCOC(N)=O
InChI=1S/C4H8O2/c1-4(5)3-6-2/h3H2,1-2H3	COCC(C)=O
InChI=1S/C3H7NO2/c1-6-2-3(4)5/h2H2,1H3,(H2,4,5)	COCC(N)=O
InChI=1S/C3H7NO2/c4-3(6)1-2-5/h5H,1-2H2,(H2,4,6)	NC(=O)CCO
InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)	[NH3+]CCC([O-])=O
InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3	CC(C)CCO
InChI=1S/C4H10O2/c1-4(6)2-3-5/h4-6H,2-3H2,1H3	CC(O)CCO
InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3	CCCC(C)C
InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3	CCCC(C)O
InChI=1S/C5H12O/c1-4-6-5(2)3/h5H,4H2,1-3H3	CCOC(C)C
InChI=1S/C5H12O/c1-5(2)4-6-3/h5H,4H2,1-3H3	COCC(C)C
InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3	COCC(C)O
InChI=1S/C4H6O2/c1-3(5)4(2)6/h1-2H3	CC(=O)C(C)=O
InChI=1S/C3H5NO2/c1-2(5)3(4)6/h1H3,(H2,4,6)	CC(=O)C(N)=O
InChI=1S/C2H4N2O2/c3-1(4)2(5)6/h(H3,3,4)(H,5,6)	NC(=[NH2+])C([O-])=O
InChI=1S/C2H4N2O2/c3-1(5)2(4)6/h(H2,3,5)(H2,4,6)	NC(=O)C(N)=O
InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3	CC(C)C(C)=O
InChI=1S/C4H9NO/c1-3(2)4(5)6/h3H,1-2H3,(H2,5,6)	CC(C)C(N)=O
InChI=1S/C4H8O2/c1-3(5)4(2)6/h3,5H,1-2H3	CC(O)C(C)=O
InChI=1S/C3H7NO2/c1-2(5)3(4)6/h2,5H,1H3,(H2,4,6)	CC(O)C(N)=O
InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3	CN(C)C(C)=O
InChI=1S/C3H8N2O/c1-5(2)3(4)6/h1-2H3,(H2,4,6)	CN(C)C(N)=O
InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3	CC(C)C(C)C
InChI=1S/C5H12O/c1-4(2)5(3)6/h4-6H,1-3H3	CC(C)C(C)O
InChI=1S/C4H10O2/c1-3(5)4(2)6/h3-6H,1-2H3	CC(O)C(C)O
InChI=1S/C6H12/c1-6(2)4-3-5-6/h3-5H2,1-2H3	CC1(C)CCC1
InChI=1S/C5H10O/c1-5(2)3-4-6-5/h3-4H2,1-2H3	CC1(C)CCO1
InChI=1S/C5H10O/c1-5(2)3-6-4-5/h3-4H2,1-2H3	CC1(C)COC1
InChI=1S/C5H10O/c1-5(6)3-2-4-5/h6H,2-4H2,1H3	CC1(O)CCC1
InChI=1S/C4H8O2/c1-4(5)2-6-3-4/h5H,2-3H2,1H3	CC1(O)COC1
InChI=1S/C5H10O/c1-5(2)3-4(5)6/h4,6H,3H2,1-2H3	CC1(C)CC1O
InChI=1S/C4H8O2/c1-4(6)2-3(4)5/h3,5-6H,2H2,1H3	CC1(O)CC1O
InChI=1S/C6H12/c1-5-4-6(5,2)3/h5H,4H2,1-3H3	CC1CC1(C)C
InChI=1S/C5H10O/c1-4-3-5(4,2)6/h4,6H,3H2,1-2H3	CC1CC1(C)O
InChI=1S/C5H10O/c1-4-5(2,3)6-4/h4H,1-3H3	CC1OC1(C)C
InChI=1S/C5H11N/c1-5(2)4-6(5)3/h4H2,1-3H3	CN1CC1(C)C
InChI=1S/C4H7NO/c1-3-2-4(5)6-3/h3,5H,2H2,1H3	CC1CC(=N)O1
InChI=1S/C5H8O/c1-4-2-5(6)3-4/h4H,2-3H2,1H3	CC1CC(=O)C1
InChI=1S/C4H7NO/c1-3-2-4(6)5-3/h3H,2H2,1H3,(H,5,6)	CC1CC(=O)N1
InChI=1S/C4H6O2/c1-3-2-4(5)6-3/h3H,2H2,1H3	CC1CC(=O)O1
InChI=1S/C4H7NO/c1-5-2-4(6)3-5/h2-3H2,1H3	CN1CC(=O)C1
InChI=1S/C4H6O2/c5-3-1-4(6)2-3/h3,5H,1-2H2	OC1CC(=O)C1
InChI=1S/C6H12/c1-5-3-6(2)4-5/h5-6H,3-4H2,1-2H3	CC1CC(C)C1
InChI=1S/C5H10O/c1-4-3-5(2)6-4/h4-5H,3H2,1-2H3	CC1CC(C)O1
InChI=1S/C5H10O/c1-4-2-5(6)3-4/h4-6H,2-3H2,1H3	CC1CC(O)C1
